RIC,Market,TimestampUTC,Headline
gold,gold,2017-09-07 15:09:00,BRIEF-REVIVAL GOLD ANNOUNCES AGREEMENT ON FORMER BEARTRACK MINE AND $10 MLN PRIVATE PLACEMENT
gold,gold,2017-09-06 21:46:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-09-06 16:07:00,BRIEF-Centerra Gold in advanced settlement talks with Kyrgyz Government
gold,gold,2017-09-05 21:51:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-09-06 06:54:00,UPDATE 2-UK Stocks-Factors to watch on Sept 6
gold,gold,2017-09-05 17:51:00,UPDATE 2-Canadian miner Teck slumps as China's CIC fund sells partial stake
gold,gold,2017-09-04 18:26:00,"UPDATE 10-U.S. crude edges higher, gasoline tumbles after Harvey"
gold,gold,2017-09-01 06:39:00,UPDATE 1-UK Stocks-Factors to watch on Sept 1
gold,gold,2017-08-29 21:48:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-08-18 06:43:00,UPDATE 1-UK Stocks-Factors to watch on Aug 18
gold,gold,2017-08-17 06:45:00,UPDATE 1-UK Stocks-Factors to watch on Aug 17
gold,gold,2017-08-16 06:47:00,UPDATE 1-UK Stocks-Factors to watch on Aug 16
gold,gold,2017-08-25 06:49:00,UPDATE 1-UK Stocks-Factors to watch on Aug 25
gold,gold,2017-08-15 06:50:00,UPDATE 1-UK Stocks-Factors to watch on Aug 15
gold,gold,2017-08-14 06:50:00,UPDATE 1-UK Stocks-Factors to watch on Aug 14
gold,gold,2017-08-11 22:43:00,UPDATE 1-Olympics-Los Angeles City Council backs 2028 Olympic bid
gold,gold,2017-08-13 14:18:00,UPDATE 1-Athletics-Yang takes 20km walk gold in dramatic finish on Mall
gold,gold,2017-09-07 21:25:00,BRIEF-CME raises September margins for gold futures
gold,gold,2017-09-14 06:46:00,UPDATE 1-UK Stocks-Factors to watch on Sept 14
gold,gold,2017-08-10 21:34:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-08-10 06:52:00,UPDATE 1-UK Stocks-Factors to watch on Aug 10
gold,gold,2017-08-09 16:19:00,"UPDATE 1-European shares fall on Paris incident, North Korea worries"
gold,gold,2017-08-09 07:01:00,UPDATE 1-UK Stocks-Factors to watch on Aug 9
gold,gold,2017-08-07 21:46:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-08-07 06:42:00,UPDATE 1-UK Stocks-Factors to watch on Aug 7
gold,gold,2017-08-04 06:49:00,UPDATE 1-UK Stocks-Factors to watch on Aug. 4
gold,gold,2017-08-03 07:02:00,UPDATE 1-UK Stocks-Factors to watch on Aug 3
gold,gold,2017-08-03 09:37:00,UPDATE 1-Sibanye Gold planning job cuts in S.Africa mines revamp
gold,gold,2017-08-02 06:38:00,UPDATE 1-UK Stocks-Factors to watch on August 2
gold,gold,2017-08-02 15:10:00,UPDATE 1-U.S. bosses throw weight behind new drive to court India
gold,gold,2017-07-31 21:53:00,BRIEF-Ascot executes definitive agreement to acquire Premier‍​
gold,gold,2017-07-31 11:18:00,UPDATE 2-Swiss central bank's H1 profit hit by forex loss
gold,gold,2017-07-30 04:40:00,UPDATE 1-Swimming-'Missile' fires back after relay criticism
gold,gold,2017-07-27 13:10:00,UPDATE 2-Gold miners make provisions for possible settlement in lung disease lawsuit
gold,gold,2017-07-26 06:40:00,UPDATE 1-UK Stocks-Factors to watch on July 26
gold,gold,2017-07-25 16:40:00,UPDATE 3-Rising gold production pushes Newmont past profit estimates
gold,gold,2017-07-24 06:37:00,UPDATE 1-UK Stocks-Factors to watch on July 24
gold,gold,2017-07-25 06:50:00,UPDATE 1-UK Stocks-Factors to watch on July 25
gold,gold,2017-07-31 22:29:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-08-08 06:53:00,UPDATE 1-UK Stocks-Factors to watch on Aug 8
gold,gold,2017-08-09 13:04:00,Wednesday Morning Briefing
gold,gold,2017-07-21 06:47:00,UPDATE 1-UK Stocks-Factors to watch on July 21
gold,gold,2017-08-09 15:32:00,UPDATE 2-Korean war of words sends German bond yields to six-week low
gold,gold,2017-07-20 22:54:00,UPDATE 1-U.S. taxable bond funds gather most cash since March -Lipper
gold,gold,2017-08-01 06:53:00,UPDATE 1-UK Stocks-Factors to watch on Tuesday
gold,gold,2017-08-09 21:50:00,UPDATE 1-Athletics-Young Norwegian Warholm earns breakthrough 400m hurdles win
gold,gold,2017-08-10 11:37:00,BRIEF-Primero reports Q2 adjusted loss per share $0.02
gold,gold,2017-08-10 19:23:00,"UPDATE 7-Oil slides on worries about global crude glut, Wall St slump"
gold,gold,2017-08-11 06:35:00,UPDATE 1-UK Stocks-Factors to watch on Aug 11
gold,gold,2017-09-14 21:17:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-09-14 21:47:00,UPDATE 2-Eldorado Gold starts arbitration process on Greek project
gold,gold,2017-09-15 06:37:00,UPDATE 1-UK Stocks-Factors to watch on Sept 15
gold,gold,2017-08-10 21:56:00,"BRIEF-CME raises gold, silver, copper margins; lowers for gasoline"
gold,gold,2017-09-20 06:53:00,UPDATE 2-UK Stocks-Factors to watch on Sept 20
gold,gold,2017-09-21 06:40:00,UPDATE 1-UK Stocks-Factors to watch on Sept 21
gold,gold,2017-07-17 12:50:00,BRIEF-Revelo sells San Guillermo and Reprado gold-silver projects to Austral Gold
gold,gold,2017-07-14 06:55:00,UPDATE 1-UK Stocks-Factors to watch on July 14
gold,gold,2017-07-11 06:48:00,UPDATE 1-UK Stocks-Factors to watch on July 11
gold,gold,2017-07-07 06:59:00,UPDATE 1-UK Stocks-Factors to watch on July 7
gold,gold,2017-07-10 09:45:00,"UPDATE 2-Qatar c.bank says country has $340 bln in reserves, can weather Arab sanctions"
gold,gold,2017-07-11 08:44:00,UPDATE 1-LME launches bid for slice of $5 trillion London gold market
gold,gold,2017-07-12 06:55:00,UPDATE 1-UK Stocks-Factors to watch on July 12
gold,gold,2017-07-04 06:53:00,UPDATE 1-UK Stocks-Factors to watch on July 4
gold,gold,2017-07-05 06:42:00,UPDATE 1-UK Stocks-Factors to watch on July 5
gold,gold,2017-07-03 06:53:00,UPDATE 3-UK Stocks-Factors to watch on July 3
gold,gold,2017-06-30 06:51:00,UPDATE 1-UK Stocks-Factors to watch on June 30
gold,gold,2017-06-30 21:07:00,"BRIEF-Gold Reserve says Venezuela agreed to pay gold reserve a total of about  $1,037 mln"
gold,gold,2017-06-29 06:52:00,UPDATE 1-UK Stocks-Factors to watch on June 29
gold,gold,2017-06-27 06:43:00,UPDATE 1-UK Stocks-Factors to watch on June 27
gold,gold,2017-06-30 21:27:00,BRIEF-Rio Novo Gold says first instance decision has been made
gold,gold,2017-06-23 06:43:00,UPDATE 1-UK Stocks-Factors to watch on June 23
gold,gold,2017-06-28 06:35:00,UPDATE 1-UK Stocks-Factors to watch on June 28
gold,gold,2017-06-22 06:53:00,UPDATE 2-UK Stocks-Factors to watch on June 22
gold,gold,2017-06-26 06:32:00,UPDATE 1-UK Stocks-Factors to watch on June 26
gold,gold,2017-07-06 06:58:00,UPDATE 1-UK Stocks-Factors to watch on July 6
gold,gold,2017-06-21 06:30:00,UPDATE 1-UK Stocks-Factors to watch on June 21
gold,gold,2017-09-22 06:30:00,UPDATE 1-UK Stocks-Factors to watch on Sept 22
gold,gold,2017-06-20 06:57:00,UPDATE 2-UK Stocks-Factors to watch on June 20
gold,gold,2017-06-15 16:18:00,"UPDATE 1-Russia's Sovcomflot, En+ IPOs delayed as market weakens - sources"
gold,gold,2017-06-15 06:47:00,UPDATE 1-UK Stocks-Factors to watch on June 15
gold,gold,2017-06-14 07:07:00,UPDATE 2-UK Stocks-Factors to watch on June 14
gold,gold,2017-06-13 07:01:00,UPDATE 1-UK Stocks-Factors to watch on June 13
gold,gold,2017-06-12 06:32:00,UPDATE 1-UK Stocks-Factors to watch on June 12
gold,gold,2017-06-19 06:42:00,UPDATE 1-UK Stocks-Factors to watch on June 19
gold,gold,2017-06-09 12:55:00,UPDATE 1-CANADA STOCKS-Futures remain unchanged despite strong economic data
gold,gold,2017-06-09 08:35:00,UPDATE 3-SoftBank to buy robotics businesses from Alphabet Inc
gold,gold,2017-06-13 17:05:00,BRIEF-Lundin Gold draws $150 mln under project financing package
gold,gold,2017-05-31 16:46:00,REFILE-UPDATE 2-Fosun buys stake in Russia's top gold miner for $887 mln
gold,gold,2017-05-26 06:54:00,UPDATE 1-UK Stocks-Factors to watch on May 26
gold,gold,2017-05-18 13:23:00,Thursday Morning Briefing
gold,gold,2017-05-11 06:49:00,UPDATE 1-UK Stocks-Factors to watch on May 11
gold,gold,2017-05-11 10:12:00,BRIEF-Newmont Mining Corp to invest approximately U.S.$109 mln for 19.9 pct ownership of Continental Gold Inc
gold,gold,2017-05-10 06:45:00,UPDATE 1-UK Stocks-Factors to watch on May 10
gold,gold,2017-05-05 06:40:00,UPDATE 1-UK Stocks-Factors to watch on May 5
gold,gold,2017-05-12 06:47:00,UPDATE 1-UK Stocks-Factors to watch on May 12
gold,gold,2017-05-11 15:00:00,UPDATE 1-Egypt to announce results of gold mining exploration bid next week
gold,gold,2017-05-06 06:30:00,UPDATE 3-Olympics-Coates sees off Roche to remain Australian Olympic chief
gold,gold,2017-05-04 07:10:00,UPDATE 1-UK Stocks-Factors to watch on May 4
gold,gold,2017-05-02 21:41:00,BRIEF-Kinross reports Q1 adjusted EPS $0.02
gold,gold,2017-05-03 07:04:00,UPDATE 1-UK Stocks-Factors to watch on May 3
gold,gold,2017-04-24 06:51:00,UPDATE 1-UK Stocks-Factors to watch on April 24
gold,gold,2017-04-20 23:39:00,UPDATE 2-Doping-Olympic champion Rollins banned for missing drug tests
gold,gold,2017-04-21 00:04:00,UPDATE 1-U.S. fund investors taper Euro stock buying ahead of French vote
gold,gold,2017-04-20 06:54:00,UPDATE 1-UK Stocks-Factors to watch on April 20
gold,gold,2017-04-19 06:49:00,UPDATE 1-UK Stocks-Factors to watch on April 19
gold,gold,2017-04-25 07:00:00,UPDATE 1-UK Stocks-Factors to watch on April 25
gold,gold,2017-04-07 19:40:00,"UPDATE 12-Oil rises after U.S. missile strike in Syria, weekly gain 3 pct"
gold,gold,2017-04-07 11:35:00,Friday Morning Briefing
gold,gold,2017-03-27 18:02:00,"UPDATE 1-Colombia municipality, home of AngloGold project, votes to ban mining"
gold,gold,2017-03-29 06:40:00,UPDATE 1-UK Stocks-Factors to watch on March 29
gold,gold,2017-03-22 23:46:00,BRIEF-Detour Gold posts Q4 adjusted loss per share $0.03
gold,gold,2017-03-16 14:24:00,UPDATE 2-Russia's Nornickel says its fund buys palladium from central bank
gold,gold,2017-03-15 07:52:00,UPDATE 2-UK Stocks-Factors to watch on March 15
gold,gold,2017-03-10 13:39:00,UPDATE 4-Britain's BT resolves two-year broadband battle with Openreach deal
gold,gold,2017-03-09 07:54:00,UPDATE 2-UK Stocks-Factors to watch on March 9
gold,gold,2017-02-24 07:47:00,UPDATE 2-UK Stocks-Factors to watch on Feb. 24
gold,gold,2017-02-22 07:49:00,UPDATE 2-UK Stocks-Factors to watch on Feb. 22
gold,gold,2017-02-21 07:30:00,UPDATE 1-UK Stocks-Factors to watch on Feb. 21
gold,gold,2017-02-21 09:13:00,"UPDATE 1-Russian gold miner Polyus reports 42 pct net profit jump, forex gains"
gold,gold,2017-02-20 07:52:00,UPDATE 2-UK Stocks-Factors to watch on Feb. 20
gold,gold,2017-02-17 07:55:00,UPDATE 1-UK Stocks-Factors to watch on Feb 17
gold,gold,2017-02-15 07:42:00,UPDATE 2-UK Stocks-Factors to watch on Feb 15
gold,gold,2017-02-14 14:00:00,BRIEF-Golden Queen Mining Co announces 2016 preliminary operating results
gold,gold,2017-02-14 07:49:00,UPDATE 1-UK Stocks-Factors to watch on Feb 14
gold,gold,2017-02-09 15:59:00,UPDATE 2-UK names top Bank of England administrator as new deputy governor
gold,gold,2017-02-02 15:49:00,BRIEF-CME Group reaches average daily volume of 16 million contracts per day in January 2017
gold,gold,2017-02-01 16:39:00,UPDATE 1-Miner Grupo Mexico swings to profit in 4th quarter
gold,gold,2017-01-31 07:53:00,UPDATE 3-UK Stocks-Factors to watch on Jan 31
gold,gold,2017-01-31 20:46:00,UPDATE 1-Gold becomes one of investors' favorite safe havens with Trump uncertainty
gold,gold,2017-01-30 07:58:00,UPDATE 2-UK Stocks-Factors to watch on Jan 30
gold,gold,2017-01-23 16:00:00,UPDATE 2-London Metal Exchange CEO resigns after a difficult year
gold,gold,2017-01-23 14:42:00,"UPDATE 2-Miner Centamin won't bid in Egypt gold tender, terms not viable"
gold,gold,2017-02-06 13:10:00,UPDATE 2-Randgold 4th-qtr profit jumps; raises FY dividend by 52 pct
gold,gold,2017-01-25 17:53:00,"UPDATE 3-Freeport-McMoRan shares slump on earnings miss, Indonesia woes"
gold,gold,2017-01-17 20:12:00,"UPDATE 2-Gold miner Goldcorp details growth plan, shares rise"
gold,gold,2017-02-07 11:09:00,UPDATE 1-AngloGold says illegal miners largely cleared out of Ghana mine
gold,gold,2017-01-12 06:01:00,PRECIOUS-Gold hits 7-week highs on weaker dollar after Trump briefing
gold,gold,2017-01-12 19:58:00,PRECIOUS-Gold brushes 7-week high on weak dollar after Trump briefing
gold,gold,2016-12-29 07:24:00,UPDATE 1-UK Stocks-Factors to watch on Dec. 29
gold,gold,2016-12-28 23:53:00,"UPDATE 2-Obama designates monuments, protects federal land in Utah, Nevada"
gold,gold,2017-12-29 12:39:00,BRIEF-Shandong Tyan Home To Acquire Stake In Shandong Tianye Group Bid Co To Own Gold Assets In Australia
gold,gold,2017-12-29 13:44:00,BRIEF-Nevada Sunrise Announces Definitive Agreement For Lovelock Cobalt Mine Property In Nevada
gold,gold,2017-12-29 13:47:00,BRIEF-Thor Explorations Announces Granting Of 4 New Licences In Nigeria
gold,gold,2017-12-29 04:13:00,BRIEF-Ganso says shareholders to cut stake in co
gold,gold,2017-12-29 04:24:00,BRIEF-Gold Tat Group International Appoints Ma Chao As Chairperson Of Board​
gold,gold,2017-12-28 07:09:00,BRIEF-Patagonia Gold To Acquire Calcatreu Deposit From Pan American Silver
gold,gold,2017-12-29 21:24:00,BRIEF-Asanko Gold Files For Mixed Shelf Of Up To $300 Mln‍​
gold,gold,2017-12-29 13:07:00,UPDATE 1-Britain's FTSE ends 2017 on a high
gold,gold,2016-12-13 22:56:00,UPDATE 1-Newmont sees Q4 writedown related to Peru mine closure costs
gold,gold,2017-12-27 12:10:00,BRIEF-Centerra Gold Provides Operations Update
gold,gold,2017-12-27 16:55:00,UPDATE 1-Renova sells its stake in Russian gold miner Petropavlovsk
gold,gold,2017-12-27 16:56:00,"UPDATE 1-UK stocks lifted to record highs by commodities, IWG takeover approach"
gold,gold,2017-12-27 02:26:00,UPDATE 1-Australia's Bougainville Copper falls on Panguna moratorium report
gold,gold,2016-12-19 09:45:00,BRIEF-Singapore Exchange announces world's first Shariah-compliant gold futures contract
gold,gold,2017-12-25 14:46:00,UPDATE 1-Israel regulator seeks to ban bitcoin firms from stock exchange
gold,gold,2017-12-22 22:00:00,BRIEF-Harte Gold Closes Flow Through Tranche Of Bought Deal Financing
gold,gold,2016-12-09 13:15:00,"UPDATE 1-UK trade gap narrows in October, construction lacklustre"
gold,gold,2016-12-13 07:53:00,UPDATE 2-UK Stocks-Factors to watch on Dec. 13
gold,gold,2016-12-02 22:15:00,UPDATE 1-Deutsche Bank to pay $60 mln to settle U.S. gold price-fixing case
gold,gold,2017-12-27 21:10:00,BRIEF-Royal Gold Receives Operational Update From Mount Milligan
gold,gold,2016-11-29 07:47:00,UPDATE 2-UK Stocks-Factors to watch on Nov 29
gold,gold,2016-11-28 14:37:00,UPDATE 1-Islamic finance group approves standard for gold products
gold,gold,2016-11-28 21:41:00,"UPDATE 1-U.S. dollar net longs rise in latest week on rates view-CFTC, Reuters data"
gold,gold,2017-12-22 10:42:00,BRIEF-Gold Rain Enterprises to set up Vietnam unit through High Vision Holdings
gold,gold,2017-12-22 14:32:00,BRIEF-Banro Announces Support Agreement For Recapitalization Transaction With Key Stakeholders
gold,gold,2017-12-22 14:53:00,"BRIEF-Torex Gold, Lenders Sign Waiver On Liquidity Covenant"
gold,gold,2017-12-22 02:14:00,"BRIEF-Gold Tat Group International Appoints‍ Ma Chao, Zhang Shourong And Fu Yong As Executive Directors​"
gold,gold,2017-12-22 15:54:00,UPDATE 1-Taking back control: UK's classic blue-and-gold passport to return
gold,gold,2017-12-22 00:41:00,BRIEF-Agnico Eagle To Purchase Exploration Assets Of Canadian Malartic
gold,gold,2016-11-22 08:01:00,UPDATE 2-UK Stocks-Factors to watch on Nov 22
gold,gold,2016-11-18 00:43:00,UPDATE 1-Investors flood U.S. stock ETFs with most cash ever on Trump win -Lipper
gold,gold,2017-12-21 13:34:00,BRIEF-Marathon Announces Closing Of $5 Mln Bought Deal Offering Of Flow-Through Shares
gold,gold,2016-11-17 07:57:00,UPDATE 2-UK Stocks-Factors to watch on Nov 17
gold,gold,2017-12-21 07:36:00,UPDATE 1-UK Stocks-Factors to watch on Dec 21
gold,gold,2017-12-20 12:43:00,"BRIEF-Honey Badger Exploration Signs Letter Of Intent To Option Polymetallic Silver, Gold, Zinc, Lead, And Cobalt Property"
gold,gold,2016-11-11 07:40:00,UPDATE 1-UK Stocks-Factors to watch on Nov 11
gold,gold,2017-12-19 17:38:00,BRIEF-Sabina Gold & Silver Announces 9.9% Strategic Investment By Zhaojin International
gold,gold,2016-11-10 07:44:00,UPDATE 1-UK Stocks-Factors to watch on Nov 10
gold,gold,2016-11-10 09:01:00,UPDATE 2-Japan commodity exchange halts as heavy trading after Trump victory overwhelms system
gold,gold,2017-12-19 14:28:00,BRIEF-Marlin Gold Mining Announces Shareholder Approval And Final Court Approval Of Arrangement
gold,gold,2016-11-14 12:35:00,BRIEF-RNC qtrly adjusted loss per share $0.02
gold,gold,2017-12-19 15:29:00,BRIEF-Eldorado Gold Provides Update On Greek Arbitration
gold,gold,2017-12-19 17:08:00,UPDATE 1-Britain's FTSE edges up; Old Mutual jumps after unit sale
gold,gold,2017-12-19 10:37:00,BRIEF-Red Eagle Mining Announces $5.6 Million Equity Financing
gold,gold,2017-12-19 13:51:00,"UPDATE 2-Bank of Italy not to blame for bank collapses, governor tells parliament"
gold,gold,2017-12-19 07:04:00,BRIEF-Sandstorm Gold Acquires 2% Nsr Royalty On Endeavour's Houndé Gold Mine
gold,gold,2016-11-09 14:03:00,"UPDATE 1-Construction, pharma, gold miners seen as Europe's top Trump trades"
gold,gold,2017-12-19 07:40:00,UPDATE 1-UK Stocks-Factors to watch on Dec 19
gold,gold,2017-12-19 15:48:00,BRIEF-China Gold International Announces Loan Agreement And Deposit Services Agreement
gold,gold,2016-11-09 06:44:00,UPDATE 2-Investors see no let up to market bloodbath if Trump wins presidency
gold,gold,2017-12-19 21:07:00,BRIEF-Downer Secures $400 Mln Mining Services Contract
gold,gold,2017-12-19 17:42:00,"UPDATE 2-RPT-Bank of Italy not to blame for bank collapses, governor tells parliament"
gold,gold,2017-12-19 20:13:00,UPDATE 1-Merkel admits mistakes in the 2016 Christmas market attack
gold,gold,2017-12-18 19:49:00,BRIEF-Skeena Resources Secures Option To Acquire Eskay Creek
gold,gold,2017-12-18 16:44:00,UPDATE 3-Canada's Northern Dynasty taps potential partner for Alaska mine
gold,gold,2017-12-18 07:36:00,UPDATE 1-UK Stocks-Factors to watch on Dec 18
gold,gold,2017-12-18 11:09:00,BRIEF-Torex Announces Suspension Of Employment Contracts
gold,gold,2017-12-18 13:18:00,BRIEF-Harte Gold Upsizes Previously Announced Bought Deal Private Placement To $30.8 Mln
gold,gold,2017-12-18 13:24:00,BRIEF-Compass Gold Announces Formal Appointment Of Three New Members To Executive Management Team
gold,gold,2017-12-18 14:29:00,BRIEF-Aura Minerals And Rio Novo Gold Announce Merger Transaction
gold,gold,2017-12-19 21:44:00,BRIEF-Newcastle Gold And Anfield Gold Shareholders Approve Merger With Trek Mining
gold,gold,2016-11-11 01:08:00,UPDATE 1-CME CEO Gill to retire at year's end; Duffy to get expanded role
