mkt,ric,ric_or_isin
lse,2N0Nbe.TRE,US83417L1061
lse,2N8f.TRE,US3793782018
lse,2NFL.L,IE00BD09ZW40
lse,2NGL.L,IE00B94QKX96
lse,2NGS.L,IE00B94QL251
lse,2NKE.L,IE00BF03XZ92
lse,2NRf.TRE,US64829B1008
lse,2NVD.L,IE00BD09ZX56
lse,2NWf.TRE,US0077861062
lse,2OIL.L,IE00BVFZGG42
lse,2OIS.L,IE00BVFZGH58
lse,2OLI.L,IE00BVFZGG42
lse,2ORC.L,IE00BF03Y019
lse,2OSI.L,IE00BVFZGH58
lse,2PAL.L,IE00B94QLN63
lse,2PFE.L,IE00BD09ZZ70
lse,2POf.TRE,US7374461041
lse,2PPde.TRE,US70450Y1038
lse,2PYP.L,IE00BD0B0034
lse,2QOf.TRE,US74736K1016
lse,2R1f.TRE,US57630J1060
lse,2S7f.TRE,US85207U1051
lse,2SBU.L,IE00BF03Y126
lse,2SFT.L,GB00BD8YYL34
lse,2SIL.L,IE00B94QL699
lse,2SIS.L,IE00B94QL921
lse,2TXf.TRE,US89366M2017
lse,2U1f.TRE,US90214J1016
lse,2UKL.L,IE00B94QKC83
lse,2UKS.L,IE00B94QKF15
lse,2VIS.L,IE00BD09ZV33
lse,2VSf.TRE,US92337C1045
lse,2WBAf.TRE,US9485961018
lse,2XTf.TRE,US23355L1061
lse,2ZCf.TRE,US1275372076
lse,300f.TRE,US29786A1060
lse,307f.TRE,CA82509L1076
lse,31Zf.TRE,CA4858471077
lse,3231q.L,US9773723096
lse,32Cf.TRE,US1416331072
lse,32JNf.TRE,CA47009M4002
lse,32Kf.TRE,CA4986961031
lse,32Nf.TRE,CA6445351068
lse,333f.TRE,DE000A1YDDM9
lse,33Lf.TRE,US5500211090
lse,35OAf.TRE,US67551U1051
lse,35Xf.TRE,US00856G1094
lse,37HRl.TRE,GB0006091622
lse,37HR_p.L,GB0006091622
lse,38If.TRE,US45826J1051
lse,3AIf.TRE,US02156B1035
lse,3AMf.TRE,US03211L1026
lse,3AUL.L,JE00BYQY4X40
lse,3AUS.L,JE00BYQY4L28
lse,3BLR.L,IE00BYTYHS72
lse,3BRL.L,IE00BYTYHS72
lse,3BRS.L,IE00BYTYHR65
lse,3BSR.L,IE00BYTYHR65
lse,3BXf.TRE,US10316T1043
lse,3CFL.L,JE00BYQY3Z98
lse,3CFS.L,JE00BYQY3K46
lse,3CGf.TRE,CA1991711096
lse,3CRL.L,JE00BYQY8G54
lse,3CRS.L,JE00BYQY8219
lse,3CUL.L,JE00BYQY4F67
lse,3CUS.L,JE00BYQY4341
lse,3DEL.L,IE00B878KX55
lse,3DES.L,IE00B8GKPP93
lse,3ECf.TRE,IE00B8KQN827
lse,3ELM.L,IE00BYTYHN28
lse,3EML.L,IE00BYTYHN28
lse,3EMS.L,IE00BYTYHM11
lse,3EUL.L,IE00B7SD4R47
lse,3EULl1.TRE,IE00B7SD4R47
lse,3EUS.L,IE00B8JF9153
lse,3FOf.TRE,CA3518581051
lse,3GIL.L,IE00BKT09479
lse,3GIS.L,IE00BKS8QQ35
lse,3GOL.L,IE00B8HGT870
lse,3GOS.L,IE00B6X4BP29
lse,3HCL.L,IE00B8JVMZ80
lse,3HCS.L,IE00B8KD3F05
lse,3IN.L,JE00BF5FX167
lse,3IN.L,JE00BYR8GK67
lse,3IS2be.TRE,US4642872422
lse,3IS3be.TRE,US4642887529
lse,3IS6be.TRE,US4642888519
lse,3ISAbe.TRE,US4642874089
lse,3ISEbe.TRE,US4642874329
lse,3ISPbe.TRE,US4642888105
lse,3ISZd.TRE,US4642887784
lse,3ITLmi.TRE,IE00B8NB3063
lse,3IWf.TRE,BMG491BT1088
lse,3KFf.TRE,CA13765K1030
lse,3LAU.L,GB00BD8YXT45
lse,3LDE.L,IE00B878KX55
lse,3LES.L,IE00B8JF9153
lse,3LEU.L,IE00B7SD4R47
lse,3LGO.L,IE00B8HGT870
lse,3LGS.L,IE00B76BRD76
lse,3LNf.TRE,US5380341090
lse,3LNG.L,IE00B8VC8061
lse,3LOI.L,IE00B7ZQC614
lse,3LSI.L,IE00B7XD2195
lse,3LUS.L,IE00B7Y34M31
lse,3LWO.L,GB00BD8YX509
lse,3M4f.TRE,US5747951003
lse,3NGL.L,IE00B8VC8061
lse,3NGS.L,IE00B76BRD76
lse,3NIL.L,JE00BYQY5X15
lse,3NIS.L,JE00BYQY5Q48
lse,3O1f.TRE,AU000000ORE0
lse,3O61f.TRE,US14740B6065
lse,3O8f.TRE,US6821431029
lse,3OIL.L,IE00B7ZQC614
lse,3OIS.L,IE00B7SX5Y86
lse,3PLf.TRE,US72703H1014
lse,3PXf.TRE,MHY622671029
lse,3RLf.TRE,US0116421050
lse,3SAU.L,GB00BD8YXW73
lse,3SDE.L,IE00B8GKPP93
lse,3SEM.L,IE00BYTYHM11
lse,3SGO.L,IE00B6X4BP29
lse,3SIL.L,IE00B7XD2195
lse,3SIS.L,IE00B8JG1787
lse,3SMf.TRE,US8318652091
lse,3SOI.L,IE00B7SX5Y86
lse,3SOIl.TRE,IE00B7SX5Y86
lse,3SSI.L,IE00B8JG1787
lse,3SUL.L,JE00BYQY7H96
lse,3SUS.L,JE00BYQY7799
lse,3SWO.L,GB00BD8YXR21
lse,3T4f.TRE,US88076W1036
lse,3TKf.TRE,MHY8565N1022
lse,3TYS.L,IE00BKS8QT65
lse,3UBf.TRE,US90347A1007
lse,3UKL.L,IE00B88D2999
lse,3UKS.L,IE00B7VB3908
lse,3ULS.L,IE00B8K7KM88
lse,3USL.L,IE00B7Y34M31
lse,3USS.L,IE00B8K7KM88
lse,3V64de.TRE,US92826C8394
lse,3W9Kde.TRE,LU1072910919
lse,3WHL.L,JE00BYQY8102
lse,3WHS.L,JE00BYQY7P70
lse,42889de.TRE,DE0006219934
lse,42Sf.TRE,US6983541078
lse,42TF.L,GB00BFXWHQ29
lse,43W1f.TRE,CA5316961021
lse,44R2f.TRE,US74979C8082
lse,46Hf.TRE,VGG456671053
lse,47AVls.L,XS1054714248
lse,47IEl.TRE,GB0007655474
lse,48Ef.TRE,US29273V1008
lse,49GPl.TRE,GB0002342854
lse,4B3f.TRE,US0893021032
lse,4BBf.TRE,CA09228A1049
lse,4CCf.TRE,US1850641028
lse,4GXFbe.TRE,US37950E7470
lse,4GXGbe.TRE,US37950E4733
lse,4GXMbe.TRE,US37950E4162
lse,4GXPbe.TRE,US37950E3669
lse,4GXWbe.TRE,US37954Y8140
lse,4GXZbe.TRE,US37950E5490
lse,4IHf.TRE,KYG4740B1059
lse,4J2f.TRE,US48020Q1076
lse,4JZ2be.TRE,US78464A7972
lse,4JZIbe.TRE,US78464A6982
lse,4LLf.TRE,US87918A1051
lse,4LN1sg.TRE,US14070B1017
lse,4MGf.TRE,US57665R1068
lse,4OQ1f.TRE,US00123Q1040
lse,4ORde.TRE,US68620A1043
lse,4QKf.TRE,US1920051067
lse,4S0f.TRE,US81762P1021
lse,4SBf.TRE,US78410G1040
lse,4T9Bf1.TRE,CA1348521024
lse,4T9Bf.TRE,CA14852E1097
lse,4TIf.TRE,CA89531J1093
lse,500G.L,FR0010912576
lse,500G.L,LU1681049018
lse,500Hpa.TRE,FR0013213444
lse,500pa.TRE,FR0010892224
lse,500U.L,FR0010912576
lse,500U.L,LU1681049018
lse,50Bf.TRE,US09075E1001
lse,50GP_p.L,GB0002343159
lse,51IF.L,GB0007837767
lse,53GW_p.L,GB0003551420
lse,54GWl.TRE,GB0003551537
lse,54GW_p.L,GB0003551537
lse,5APf.TRE,US6974351057
lse,5B9f.TRE,US11133T1034
lse,5BGf.TRE,CA11777Q2099
lse,5DEL.L,JE00BVXVT099
lse,5DQ2f.TRE,US23703Q2030
lse,5FBf.TRE,US33812L1026
lse,5G5f.TRE,US38268T1034
lse,5GNf.TRE,US39304D1028
lse,5GOL.L,JE00BX7RPR68
lse,5GOS.L,JE00BX7RPS75
lse,5GQf.TRE,CA38115J1003
lse,5GUL.L,JE00BX7RPT82
lse,5GUS.L,JE00BX7RPV05
lse,5IVf.TRE,CA45254B1031
lse,5IXf.TRE,NL0009693779
lse,5NMf.TRE,MHY621341046
lse,5OIS.L,JE00BX7RPN21
lse,5OUS.L,JE00BX7RPQ51
lse,5RMf.TRE,CA5753231003
lse,5SFT.L,GB00BD8YYG80
lse,5SIL.L,JE00BX7RPW12
lse,5SIS.L,JE00BX7RPL07
lse,5TAf.TRE,US00900T1079
lse,5UKL.L,JE00BVXVSY62
lse,5WTI.L,JE00BYVJRS09
lse,5X60de.TRE,LU0508799334
lse,5X62de.TRE,LU0530119774
lse,5XS2f.TRE,CA52886L1031
lse,600028q.L,US16941R1086
lse,60Af.TRE,IE00BFRT3W74
lse,6657q.L,US50186Q2021
lse,68HN_p.L,GB0005790273
lse,68Vde.TRE,US05722G1004
lse,69Cf.TRE,US1407551092
lse,6AZf.TRE,CA3807381049
lse,6BSCbe.TRE,US26923G1031
lse,6CLf.TRE,US19625W1045
lse,6D8f.TRE,US26078J1007
lse,6DFAd.TRE,US25490K3317
lse,6F1f.TRE,US33829M1018
lse,6GAAf.TRE,US40053W1018
lse,6GEf.TRE,US3722842081
lse,6HAf.TRE,US41068X1000
lse,6ICf.TRE,US46269C1027
lse,6KSCbe.TRE,US5007674055
lse,6L7f.TRE,US0787711029
lse,6LKf.TRE,US64121N1090
lse,6LMNf.TRE,CA6011322022
lse,6LNf.TRE,US42225K1060
lse,6NBf.TRE,US6298392001
lse,6NEf.TRE,CA65340P1062
lse,6P7f.TRE,CA74139C1023
lse,6PUf.TRE,US74624M1027
lse,6ZYf.TRE,US98986X1090
lse,70HFl.TRE,GB0004912282
lse,710f.TRE,US18914U1007
lse,721f.TRE,US0323593097
lse,72Af.TRE,CA02301T1084
lse,73GNf.TRE,CA8910546032
lse,76IDl.TRE,GB0007530149
lse,7752t.TRE,JP3973400009
lse,78GLl.TRE,GB0001615433
lse,7AB1f.TRE,US76117W1099
lse,7AZ1f.TRE,CA4924052042
lse,7CPf.TRE,MHY110821078
lse,7DGf.TRE,US2566771059
lse,7DIG.L,GB00BMH46555
lse,7FLf.TRE,CA52171T1003
lse,7GBf.TRE,US3811191069
lse,7GOf.TRE,BMG375851091
lse,7GUf.TRE,CA3837981057
lse,7GX1d.TRE,US37954Y7803
lse,7GX4be.TRE,US37954Y6656
lse,7GXQbe.TRE,US37954Y8553
lse,7GXRbe.TRE,US37954Y8637
lse,7GXSbe.TRE,US37954Y8710
lse,7GXTbe.TRE,US37954Y8488
lse,7GXZd.TRE,US37954Y7159
lse,7HPde.TRE,US40434L1052
lse,7M2f.TRE,US46131B1008
lse,7NS1f.TRE,US64127R4011
lse,7OCf.TRE,US68235C1071
lse,7PG1f.TRE,US7153022048
lse,7SUf.TRE,US86614U1007
lse,7TPf.TRE,US88165N1054
lse,7WTf.TRE,CA95984W1095
lse,80CBf.TRE,CA20653P1027
lse,811f.TRE,US2862211065
lse,87IPl.TRE,GB0009744284
lse,87IP_p.L,GB0009744284
lse,888.L,GI000A0F6407
lse,888l.TRE,GI000A0F6407
lse,88E.L,AU00000088E2
lse,8APf.TRE,US00847X1046
lse,8ATf.TRE,US00461U1051
lse,8BKf.TRE,US0925331086
lse,8CEf.TRE,US2327511075
lse,8CTf.TRE,CA13765L1013
lse,8CWf.TRE,US22822V1017
lse,8EMf.TRE,US28106W1036
lse,8FMf.TRE,US3504651007
lse,8GCAf.TRE,US37827X1000
lse,8GMde.TRE,US37045V1008
lse,8IS1f.TRE,CA46183X2086
lse,8LCf.TRE,US52603A1097
lse,8N61f.TRE,CA8968121043
lse,8NE2f.TRE,US1280582032
lse,8PSGde.TRE,DE000A1MECS1
lse,8STNf.TRE,US83587F2020
lse,8XCf.TRE,US91325V1089
lse,910f.TRE,US03782L1017
lse,93Mde.TRE,DE000A0L1H32
lse,99SCde.TRE,DE000A1K03W5
lse,9A2f.TRE,US04010L1035
lse,9AXf.TRE,BMG0750C1082
lse,9COf.TRE,CA2208741017
lse,9EYf.TRE,US29269A1025
lse,9GCf.TRE,CA19075V1013
lse,9H6f.TRE,GB00B5BT0K07
lse,9MIf.TRE,CA59562B1013
lse,9SAf.TRE,CA00765F1018
lse,9SHf.TRE,US8190471016
lse,9TCf.TRE,CH0102993182
lse,A0Tf.TRE,US03027X1000
lse,A1Gf.TRE,US02376R1023
lse,A1OSde.TRE,DE0005110001
lse,A28f.TRE,NL0010872420
lse,A2Ami.TRE,IT0001233417
lse,A3Mmc.TRE,ES0109427734
lse,A47be.TRE,US03939W1099
lse,A4E1f.TRE,CA0202833053
lse,A4Sf.TRE,US03076C1062
lse,A4XAf.TRE,US02665T3068
lse,A58f.TRE,US0367521038
lse,A59f.TRE,US03823U1025
lse,A60f.TRE,IE00BY9D5467
lse,A6Wf.TRE,US0152711091
lse,A78f.TRE,CA8520661098
lse,A7L.L,VGG042401007
lse,A8Bf.TRE,KYG037AX1015
lse,A8Uf.TRE,CA04016A1012
lse,AA4A.L,GG00BWC53H48
lse,AAAA.L,GB00BMSKPJ95
lse,AAAas.TRE,GB00B15Y0C52
lse,AAAL.L,VGG017801082
lse,AAAP.L,GB00B7V2GY97
lse,AADde.TRE,DE0005093108
lse,AADV.L,GB0004832472
lse,AAEV.L,GB00B1G3LR35
lse,AAGde.TRE,DE000A2DAM03
lse,AAIF.L,GB00B0P6J834
lse,AAKst.TRE,SE0001493776
lse,AALBas.TRE,NL0000852564
lse,AAL.L,GB00B1XZS820
lse,AALl.TRE,GB00B1XZS820
lse,AAl.TRE,GB00BMSKPJ95
lse,AAM.L,GB00B02WQ947
lse,AAOG.L,GB00BD0Q3L08
lse,AAP2.L,IE00BF03XJ35
lse,AAQde.TRE,DE0005066609
lse,AASC.L,GB00B7ZMLM88
lse,AASC.L,GB00BFZ0WT29
lse,AASG.L,FR0011018316
lse,AASG.L,LU1681044563
lse,AASIpa.TRE,FR0011020965
lse,AAS.L,GB0000100767
lse,AASU.L,FR0011018316
lse,AASU.L,LU1681044563
lse,AATG.L,GB0005581672
lse,AAVC.L,GB0002039625
lse,AAZf.TRE,US0325111070
lse,AAZ.L,GB00B0C18177
lse,AB3Af.TRE,US8036071004
lse,ABAA.L,GB00B3LXPB43
lse,ABBNs.TRE,CH0012221716
lse,ABBY.L,IE0000020408
lse,ABCA.L,GB00B6774699
lse,ABCl.TRE,GB00B6774699
lse,ABD.L,GB00BBM56V29
lse,ABDP.L,GB00B9GQVG73
lse,ABEAde.TRE,US02079K3059
lse,ABECde.TRE,US02079K1079
lse,ABEmc.TRE,ES0111845014
lse,ABF.L,GB0006731235
lse,ABFl.TRE,GB0006731235
lse,ABGf.TRE,US03073E1055
lse,ABG.Pmc.TRE,ES0105200002
lse,ABIbr.TRE,BE0974293251
lse,ABLXbr.TRE,BE0003877942
lse,ABMA.L,GB00B6Y3CV16
lse,ABNas.TRE,NL0011540547
lse,ABpa.TRE,FR0010557264
lse,ABRde.TRE,CA0679011084
lse,ABZA.L,GB00BN65QN46
lse,ACAA.L,GB00B61D2N63
lse,ACADst.TRE,SE0007897079
lse,ACApa.TRE,FR0000045072
lse,ACCELas.TRE,NL0009767532
lse,ACCI.L,GB0033835264
lse,ACCS.L,GB00BQQFX454
lse,ACDf.TRE,LU0584671464
lse,ACEmi.TRE,IT0001207098
lse,ACEUR.L,FR0010655696
lse,ACEUR.L,LU1681042609
lse,ACGUKs.TRE,IE00BYVDRF92
lse,ACHC.L,GB00B1Z5KB73
lse,ACIDq.L,US0044342055
lse,ACIM.L,IE00B3YLTY66
lse,ACKBbr.TRE,BE0003764785
lse,ACPA.L,GB00BYMSY631
lse,ACpa.TRE,FR0000120404
lse,ACPwa.TRE,PLSOFTB00016
lse,ACRL.L,GB00BZ6VT592
lse,ACSmc.TRE,ES0167050915
lse,ACSO.L,GB0001771426
lse,ACTA.L,GB00BJ05QC14
lse,ACWD.L,IE00B44Z5B48
lse,ACWIEmi.TRE,IE00BYM11K57
lse,ACWIJs.TRE,IE00BD495N16
lse,ACWI.L,IE00B44Z5B48
lse,ACWIpa.TRE,FR0011079466
lse,ACWU.L,FR0011093418
lse,ACXde.TRE,DE000A0DNAY5
lse,ACXmc.TRE,ES0132105018
lse,AD4.L,GB00B8GRBX01
lse,AD9Sf.TRE,US68557N1037
lse,ADAA.L,IM00B986V543
lse,ADAM.L,VGG008271246
lse,ADas.TRE,NL0011794037
lse,ADBEvi.TRE,US00724F1012
lse,ADDde.TRE,DE000A1H8MU2
lse,ADEde.TRE,DE000A1TNV91
lse,ADES.L,AEDFXA1EN018
lse,ADIG.L,GB0001297562
lse,ADIGl.TRE,GB0001297562
lse,ADIvi.TRE,US0326541051
lse,ADJde.TRE,LU1250154413
lse,ADLde.TRE,DE0005008007
lse,ADL.L,IM00B1FPZP63
lse,ADMde.TRE,US0394831020
lse,ADML.L,GB00B02J6398
lse,ADMl.TRE,GB00B02J6398
lse,ADN1de.TRE,DE000A0Z23Q5
lse,ADOCpa.TRE,FR0011184241
lse,ADPpa.TRE,FR0010340141
lse,ADPvi.TRE,US0530151036
lse,ADSde.TRE,DE000A1EWWW0
lse,ADSKvi.TRE,US0527691069
lse,ADT.L,GB00B0WY3Y47
lse,ADVde.TRE,DE0005103006
lse,AE4f.TRE,US0236081024
lse,AE9f.TRE,CA0084741085
lse,AEC1de.TRE,US0258161092
lse,AEDASmc.TRE,ES0105287009
lse,AEDbr.TRE,BE0003851681
lse,AEEMpa.TRE,FR0010959676
lse,AEFS.L,GG00B6116N85
lse,AEGR.L,GB00B1YMN108
lse,AEIGnde.TRE,DE000A2GS633
lse,AEJL.L,FR0010312124
lse,AEJpa.TRE,FR0010312124
lse,AEMC.L,GG00B45L2K95
lse,AEMEpa.TRE,LU1437017350
lse,AENAmc.TRE,ES0105046009
lse,AEO.L,GB00B4QHH456
lse,AEPf.TRE,US0255371017
lse,AERO.L,GB00BQQPLG38
lse,AESf.TRE,US00130H1059
lse,AEWL.L,GB00BDVK7088
lse,AEWU.L,GB00BWD24154
lse,AEXf.TRE,CH0044328745
lse,AEXK.L,FR0010988642
lse,AEXK.L,LU1681043326
lse,AFAf.TRE,GB00BZ04Y379
lse,AFBst.TRE,SE0005999836
lse,AFEN.L,GB00B18S7B29
lse,AFGol.TRE,NO0003078107
lse,AFHP.L,GB00B4W5WQ08
lse,AFIDLq.L,US00106J2006
lse,AFINpa.TRE,FR0011020957
lse,AFINpa.TRE,LU1681040066
lse,AFLEpa.TRE,FR0013141462
lse,AFLf.TRE,US0010551028
lse,AFLTpa.TRE,FR0012647451
lse,AFMC.L,GG00B1W59J17
lse,AFM.L,GB00BF16C058
lse,AFN.L,GB00BPT24C10
lse,AFpa.TRE,FR0000031122
lse,AFRBb.L,CY0101380612
lse,AFRK.L,FI0009800098
lse,AFRNpa.TRE,FR0012005734
lse,AFSf.TRE,US0082521081
lse,AFS.L,IL0010943905
lse,AFSU.L,FR0010464446
lse,AFTf.TRE,US0028962076
lse,AFWf.TRE,US0162551016
lse,AFXde.TRE,DE0005313704
lse,AFX.L,GB00BF1TM596
lse,AFZf.TRE,CA00829Q1019
lse,AG31f.TRE,US0376123065
lse,AG8f.TRE,US00846U1016
lse,AGAP.L,GB00B15KYH63
lse,AGCP.L,GB00B15KY989
lse,AGEBpa.TRE,FR0010959668
lse,AGED.L,IE00BYZK4669
lse,AGFBbr.TRE,BE0003755692
lse,AGGB.L,CH0348206472
lse,AGGG.L,IE00B3F81409
lse,AGGH.L,IE00BDBRDM35
lse,AGGK.L,GB00BK1PTB77
lse,AGGP.L,GB00B15KYL00
lse,AGGU.L,IE00BZ043R46
lse,AGKl.TRE,GB00BK1PTB77
lse,AGLE.L,GB0034330679
lse,AGLmi.TRE,IT0001137345
lse,AGMA.L,GB00BFSSB742
lse,AGNas.TRE,NL0000303709
lse,AGOL.L,GG00BZ60M912
lse,AGOLu.L,GG00BZ60MQ84
lse,AGPH.L,IE00BF540Y54
lse,AGQ.L,VGG0472G1147
lse,AGRORq.L,US7496552057
lse,AGRP.L,GB00BVGBWW93
lse,AGRU.L,CH0346134346
lse,AGRvi.TRE,AT0000603709
lse,AGSbr.TRE,BE0974264930
lse,AGTAR.L,GG00BDG13C09
lse,AGY.L,GB00B02LCQ05
lse,AH50.L,LU1310477036
lse,AHCf.TRE,US42809H1077
lse,AHCG.L,JE00BFZD1492
lse,AHG1f.TRE,CA74624B2057
lse,AHLAde.TRE,US01609W1027
lse,AHSLst.TRE,SE0009155005
lse,AHT.L,GB0000536739
lse,AHTl.TRE,GB0000536739
lse,AHYEpa.TRE,FR0011494822
lse,AIBG.L,IE00BF0L3536
lse,AIEA.L,GB0008123027
lse,AIF.L,GB0004829437
lse,AIF_p.L,GG00BYMJ7X48
lse,AIGA.L,GB00B15KYH63
lse,AIGC.L,GB00B15KY989
lse,AIGE.L,GB00B15KYB02
lse,AIGI.L,GB00B15KYG56
lse,AIGL.L,GB00B15KYK92
lse,AIGO.L,GB00B15KYC19
lse,AIGP.L,GB00B15KYF40
lse,AIGS.L,GB00B15KYJ87
lse,AIGX.L,GB00B15KYD26
lse,AIMI.L,IE00B3YLTY66
lse,AIND.L,FR0010688218
lse,AINNde.TRE,US0268747849
lse,AIOf.TRE,US0036541003
lse,AIpa.TRE,FR0000120073
lse,AIQ.L,KYG0180A1022
lse,AIRA.L,GB00BD736828
lse,AIRCl.TRE,CNE1000001S0
lse,AIRpa.TRE,NL0000235190
lse,AIVf.TRE,US03748R1014
lse,AIXAde.TRE,DE000A0WMPJ6
lse,AIYde.TRE,US00507V1098
lse,AJG.L,GG00B61ND550
lse,AJIT.L,GB0003920757
lse,AK1f.TRE,US0311001004
lse,AK2f.TRE,US0015471081
lse,AKAMvi.TRE,US00971T1016
lse,AKEpa.TRE,FR0010313833
lse,AKERBPol.TRE,NO0010345853
lse,AKERol.TRE,NO0010234552
lse,AKR.L,US00973E1029
lse,AKRNq.L,US00501T2096
lse,AKSOol.TRE,NO0010716582
lse,AKTAVhe.TRE,FI4000058870
lse,AKXf.TRE,US03662Q1058
lse,AKZAas.TRE,NL0000009132
lse,ALAde.TRE,US0213461017
lse,ALAG.L,FR0011018324
lse,ALAG.L,LU1681045297
lse,ALAIF.L,JE00B44ZTP62
lse,ALAPH.L,GB0031030819
lse,ALATpa.TRE,FR0011020973
lse,ALAU.L,FR0011018324
lse,ALAU.L,LU1681045297
lse,ALBA.L,GB00B06KBB18
lse,ALBAL.L,IL0011354904
lse,ALBHBq.L,US0222082010
lse,ALBPSpa.TRE,FR0012816825
lse,ALBUDpa.TRE,FR0004172450
lse,ALCLSpa.TRE,FR0010425595
lse,ALCREpa.TRE,LU1673108939
lse,ALDf.TRE,US4385161066
lse,ALD.L,GB00BQQMCJ47
lse,ALDl.TRE,GB00BQQMCJ47
lse,ALDpa.TRE,FR0013258662
lse,ALDRVpa.TRE,FR0013088606
lse,ALESKpa.TRE,FR0000035818
lse,ALEUPpa.TRE,FR0000044810
